eventid,iyear,imonth,iday,extended,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,crit1,crit2,crit3,multiple,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1_txt,date
197000000000.0,1970,7,2,0,58,Dominican Republic,2,Central America & Caribbean,Unknown,Santo Domingo,18.456792,-69.951164,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,1,Assassination,14,Private Citizens & Property,68.0,Named Civilian,,Julio Guzman,Dominican Republic,1970-07-02
197001000000.0,1970,1,1,0,160,Philippines,5,Southeast Asia,Tarlac,Unknown,15.478598,120.599741,4.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,1,Assassination,10,Journalists & Media,54.0,Radio Journalist/Staff/Facility,Voice Of America,Employee,United States,1970-01-01
197002000000.0,1970,2,1,0,217,United States,1,North America,Oregon,Portland,45.511795,-122.675629,1.0,0.0,North Portland Neighborhood,1.0,1.0,1.0,0.0,1.0,0.0,7,Facility/Infrastructure Attack,2,Government (General),21.0,Government Building/Facility/Office,Selective Service,Selective Service Office Local Board No. 28 In Portland Oregon,United States,1970-02-01
197003000000.0,1970,3,1,0,160,Philippines,5,Southeast Asia,Metropolitian Manila,Manila,14.596051,120.978666,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,3,Bombing/Explosion,7,Government (Diplomatic),46.0,Embassy/Consulate,,U.S. Embassy,United States,1970-03-01
197004000000.0,1970,4,1,1,65,Ethiopia,11,Sub-Saharan Africa,Unknown,Unknown,0.0,0.0,5.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,6,Hostage Taking (Kidnapping),7,Government (Diplomatic),45.0,"Diplomatic Personnel (outside of embassy, consulate)","Peace Corps, U.S. Government","Jack Fry, Peace Corps Official",United States,1970-04-01
197005000000.0,1970,5,1,0,217,United States,1,North America,Massachusetts,Boston,42.290156,-71.04897,1.0,0.0,Dorchester,1.0,1.0,1.0,0.0,1.0,0.0,7,Facility/Infrastructure Attack,15,Religious Figures/Institutions,86.0,Place of Worship,Catholic Church In The Dorchester Area Of Boston,St. Anne'S Church,United States,1970-05-01
197006000000.0,1970,6,1,0,11,Argentina,3,South America,Unknown,Unknown,0.0,0.0,5.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,1,Assassination,2,Government (General),18.0,"Government Personnel (excluding police, military)",Argentine Nation,"Ex. President, Pedro Aramburu",Argentina,1970-06-01
197007000000.0,1970,7,1,0,217,United States,1,North America,Wisconsin,Wauwatosa,43.074701,-88.008394,1.0,0.0,2979 North Mayfair Rd.,1.0,1.0,1.0,0.0,0.0,0.0,3,Bombing/Explosion,1,Business,4.0,Multinational Corporation,Honeywell Incorporated,"Honeywell Incorporated, Wauwatosa Wisconsin",United States,1970-07-01
197008000000.0,1970,8,1,0,142,Netherlands,8,Western Europe,North Holland,Amsterdam,52.370216,4.895168,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,2,Armed Assault,7,Government (Diplomatic),46.0,Embassy/Consulate,,Indonesian Embassy,Indonesia,1970-08-01
197009000000.0,1970,9,1,1,102,Jordan,10,Middle East & North Africa,Amman,Amman,31.950001,35.933331,1.0,0.0,,1.0,1.0,0.0,0.0,1.0,0.0,6,Hostage Taking (Kidnapping),4,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",U.S. Army,"Sgt Graham, Employee, Defense Attache Office, Amman",United States,1970-09-01
197010000000.0,1970,10,1,0,94,Iran,10,Middle East & North Africa,Tehran,Tehran,35.724533,51.40519,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,2,Armed Assault,1,Business,3.0,Bank/Commerce,,Bank,Iran,1970-10-01
197011000000.0,1970,11,1,0,94,Iran,10,Middle East & North Africa,Tehran,Tehran,35.724533,51.40519,1.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,6,Hostage Taking (Kidnapping),7,Government (Diplomatic),45.0,"Diplomatic Personnel (outside of embassy, consulate)",Staet Dept,"Mc Arthur, U.S. Ambassador",United States,1970-11-01
197012000000.0,1970,12,1,1,185,Spain,8,Western Europe,Gipuzcoa,Donostia-San Sebastian,43.291618,-1.977903,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,6,Hostage Taking (Kidnapping),7,Government (Diplomatic),45.0,"Diplomatic Personnel (outside of embassy, consulate)",Frg,"Eugene Beihl, Honorary Frg Consul, San Sebastian",Germany,1970-12-01
197101000000.0,1971,1,1,0,217,United States,1,North America,North Carolina,Mount Gilead,35.214905,-80.001234,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,7,Facility/Infrastructure Attack,14,Private Citizens & Property,77.0,Laborer (General)/Occupation Identified,Garage Of The Father Of A Civil Rights Attorney,The Garage Of William Chambers,United States,1971-01-01
197102000000.0,1971,2,2,0,209,Turkey,10,Middle East & North Africa,Izmir,Izmir,38.395649,27.135641,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,3,Bombing/Explosion,2,Government (General),21.0,Government Building/Facility/Office,,U.S. Facility,United States,1971-02-02
197103000000.0,1971,3,1,0,160,Philippines,5,Southeast Asia,Pampanga,Angeles,15.153002,120.591942,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,3,Bombing/Explosion,1,Business,11.0,Entertainment/Cultural/Stadium/Casino,,Night Club,Philippines,1971-03-01
197104000000.0,1971,4,1,0,94,Iran,10,Middle East & North Africa,Gilan,Bandar Anzali,37.474249,49.458725,1.0,0.0,,1.0,1.0,0.0,0.0,1.0,0.0,9,Unknown,4,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",Iranian Navy,Officers,Iran,1971-04-01
197105000000.0,1971,5,1,0,217,United States,1,North America,California,Santa Cruz,36.974025,-122.030954,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,3,Bombing/Explosion,1,Business,3.0,Bank/Commerce,Bank Of America,Bank Of America Branch,United States,1971-05-01
197106000000.0,1971,6,3,0,217,United States,1,North America,California,Los Angeles,34.097866,-118.407379,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,3,Bombing/Explosion,1,Business,3.0,Bank/Commerce,,United California Bank,United States,1971-06-03
197107000000.0,1971,7,1,0,185,Spain,8,Western Europe,Biscay,Bilbao,43.258434,-2.921819,1.0,0.0,,1.0,1.0,1.0,0.0,1.0,0.0,3,Bombing/Explosion,1,Business,4.0,Multinational Corporation,,Ibm Offices,United States,1971-07-01
